Bird ID,Latitude,Longitude,CID
51635,40.86713,-78.05785,6
51635,40.86446,-78.05677,7
51635,40.86554,-78.0587,8
51635,40.86307,-78.05232,9
51635,40.86302,-78.05608,10
51635,40.86477,-78.05764,11
51635,40.86332,-78.05398,12
51635,40.86661,-78.05763,13
51635,40.86577,-78.05777,14
51635,40.863,-78.05615,15
51635,40.86852,-78.05852,16
51635,40.86841,-78.05882,17
51635,40.86828,-78.0584,18
51635,40.86848,-78.05859,19
51635,40.86852,-78.05866,20
51635,40.86345,-78.05441,21
51635,40.86334,-78.05444,22
51635,40.8633,-78.05559,23
51635,40.86781,-78.05824,24
51635,40.86336,-78.0557,25
51635,40.86856,-78.05838,26
51635,40.86771,-78.05834,27
51635,40.86347,-78.0545,28
51635,40.86321,-78.05448,29
51635,40.86337,-78.0546,30
51635,40.86356,-78.05434,31
51635,40.86341,-78.05446,32
51622,41.27636,-77.74274,1
51622,41.27744,-77.73988,2
51622,41.27827,-77.73965,3
51622,41.27741,-77.73714,4
51622,41.27915,-77.74042,5
51622,41.27798,-77.73826,6
51622,41.2765,-77.74108,7
51622,41.27784,-77.73829,8
51622,41.27832,-77.73817,9
51622,41.27664,-77.74209,10
51622,41.27727,-77.73921,11
51622,41.27764,-77.73801,12
51622,41.27748,-77.7389,13
51622,41.27871,-77.73888,14
51622,41.27963,-77.74173,15
51622,41.27885,-77.73871,16
51622,41.2766,-77.73938,17
51622,41.27649,-77.73929,18
51622,41.27685,-77.73905,19
51622,41.27638,-77.73942,20
51622,41.2767,-77.74008,21
51622,41.27771,-77.73823,22
51622,41.27753,-77.73889,23
51622,38.56015,-89.50728,24
51622,36.52558,-90.49554,25
51622,49.6642,-89.91862,26
51622,17.08326,-92.50798,27
51622,17.08327,-92.50808,28
51622,17.08334,-92.50803,29
51622,17.08317,-92.50798,30
51622,17.08389,-92.50825,31
51622,17.08316,-92.50804,32
51622,17.08338,-92.50771,33
51622,17.08347,-92.5079,34
51622,17.08229,-92.50893,35
51622,17.08314,-92.50791,36
51622,17.08335,-92.50807,37
51622,17.08308,-92.508,38
51622,17.08365,-92.50801,39
51622,17.08359,-92.50858,40
51622,16.9794,-92.49057,41
51622,16.9817,-92.48542,42
51622,16.98166,-92.48542,43
51622,16.98144,-92.48491,44
51622,16.98124,-92.4844,45
51622,16.9817,-92.4841,46
51622,16.98146,-92.48449,47
51622,16.98126,-92.4839,48
51622,24.65318,-99.00391,49
51622,35.79383,-85.05589,50
51622,36.61679,-83.92312,51
51622,41.27773,-77.73846,52
51622,41.27687,-77.74058,53
51622,41.27603,-77.74275,54
51622,41.27675,-77.73743,55
51622,41.27725,-77.73726,56
51622,41.27672,-77.74109,57
51614,41.24244,-77.77386,1
51614,41.24397,-77.77247,2
51614,41.24407,-77.77269,3
51614,41.24371,-77.77378,4
51614,41.2432,-77.77285,5
51614,41.24708,-77.77578,6
51614,41.24664,-77.77625,7
51614,41.24283,-77.77531,8
51614,41.24596,-77.7763,9
51614,41.2459,-77.77676,10
51614,41.24565,-77.77512,11
51614,41.25138,-77.77041,12
51614,41.24558,-77.77559,13
51614,41.24788,-77.77108,14
51614,41.24652,-77.77289,15
51614,41.24618,-77.77078,16
51614,41.2459,-77.77123,17
51614,41.24549,-77.77109,18
51614,41.24396,-77.77284,19
51614,41.24552,-77.77117,20
51614,40.76574,-78.68287,21
51614,37.14066,-87.54442,22
51614,30.14374,-96.21398,23
51614,17.41046,-92.9473,24
51614,17.4101,-92.9466,25
51614,17.4111,-92.94897,26
51614,17.4103,-92.94769,27
51614,17.41037,-92.94808,28
51614,17.41038,-92.94806,29
51614,17.41045,-92.94813,30
51614,17.41031,-92.94774,31
51614,17.41038,-92.94812,32
51614,17.41026,-92.94833,33
51614,17.41038,-92.9462,34
51614,17.41039,-92.94829,35
51614,17.41001,-92.9486,36
51614,17.41032,-92.94862,37
51614,17.4103,-92.94619,38
51614,17.41017,-92.94875,39
51614,17.41036,-92.94827,40
51614,17.41058,-92.94808,41
51614,17.4104,-92.94716,42
51614,17.41042,-92.94835,43
51614,17.41076,-92.94693,44
51614,17.41067,-92.94685,45
51614,17.41077,-92.94709,46
51614,26.93616,-98.74348,47
51614,33.70127,-86.76823,48
51614,33.70172,-86.769,49
51614,41.24383,-77.76839,50
51614,41.24319,-77.77641,51
51614,41.24428,-77.77538,52
51614,41.24404,-77.77394,53
51614,41.24224,-77.77542,54
51614,41.2429,-77.77542,55
51614,41.24298,-77.77597,56
51616,41.3939,-77.80547,1
51616,41.39514,-77.80617,2
51616,41.39524,-77.80605,3
51616,41.39448,-77.80739,4
51616,41.3945,-77.80798,5
51616,41.39845,-77.80628,6
51616,41.39684,-77.80712,7
51616,41.39578,-77.80848,8
51616,41.39434,-77.80508,9
51616,41.39386,-77.80528,10
51616,41.39432,-77.80536,11
51616,41.39358,-77.80496,12
51616,41.3956,-77.80587,13
51616,41.39355,-77.80528,14
51616,41.39495,-77.80795,15
51616,41.39502,-77.80798,16
51616,41.39424,-77.80921,17
51616,41.39433,-77.80912,18
51616,41.39442,-77.80883,19
51616,41.39428,-77.80878,20
51616,41.39455,-77.80913,21
51616,41.39358,-77.80523,22
51616,41.30942,-78.77057,23
51616,38.8708,-82.5826,24
51616,38.87031,-82.58226,25
51616,32.51313,-90.90953,26
51616,30.01411,-94.67988,27
51616,29.55331,-95.01805,28
51616,16.51505,-91.59363,29
51616,16.51651,-91.59366,30
51616,16.51566,-91.59198,31
51616,16.51578,-91.59217,32
51616,16.51503,-91.5937,33
51616,16.51504,-91.59352,34
51616,16.51589,-91.592,35
51616,16.51564,-91.59211,36
51616,16.51494,-91.59358,37
51616,16.515,-91.59368,38
51616,16.51564,-91.59281,39
51616,16.51635,-91.59277,40
51616,16.51512,-91.59344,41
51616,16.51559,-91.59295,42
51616,16.51576,-91.59288,43
51616,16.51559,-91.59318,44
51616,16.51574,-91.59298,45
51616,16.51572,-91.59297,46
51616,16.51484,-91.59513,47
51616,16.51574,-91.59282,48
51616,16.51611,-91.59275,49
51616,24.68277,-98.93726,50
51616,35.76164,-84.9079,51
51616,39.93396,-80.54961,52
51616,41.39272,-77.80503,53
51616,41.39277,-77.80613,54
51616,41.39353,-77.80715,55
51616,41.3946,-77.80648,56
51616,41.39493,-77.80594,57
51616,41.39255,-77.80765,58
51631,41.2728,-77.74735,1
51631,41.27562,-77.73569,2
51631,41.27791,-77.73496,3
51631,41.27786,-77.7346,4
51631,41.27762,-77.73538,5
51631,41.27272,-77.73171,6
51631,41.27883,-77.73546,7
51631,41.27781,-77.73618,8
51631,41.27787,-77.73621,9
51631,41.27827,-77.7359,10
51631,41.27751,-77.73617,11
51631,41.27843,-77.73813,12
51631,41.27789,-77.73639,13
51631,41.27869,-77.73754,14
51631,41.27687,-77.73991,15
51631,41.27849,-77.73731,16
51631,41.27701,-77.73944,17
51631,41.27881,-77.73785,18
51631,41.28274,-77.74197,19
51631,41.28271,-77.74202,20
51631,40.67459,-78.09173,21
51631,35.90977,-90.53593,22
51631,26.17494,-98.54014,23
51631,15.89599,-87.83201,24
51631,15.19836,-88.20927,25
51631,15.19847,-88.2087,26
51631,15.19931,-88.20914,27
51631,15.19921,-88.20821,28
51631,15.19845,-88.20866,29
51631,15.19867,-88.20872,30
51631,15.19898,-88.20856,31
51631,15.19882,-88.20854,32
51631,15.1985,-88.20869,33
51631,15.19864,-88.20868,34
51631,15.19849,-88.20863,35
51631,15.19848,-88.2087,36
51631,15.19846,-88.20879,37
51631,15.19876,-88.20893,38
51631,15.1999,-88.20892,39
51631,15.20003,-88.20917,40
51631,15.19987,-88.209,41
51631,15.20007,-88.20904,42
51631,15.19861,-88.20852,43
51631,15.19857,-88.20851,44
51631,15.1999,-88.20909,45
51631,15.19705,-88.20789,46
51631,24.09567,-99.43946,47
51631,29.98748,-96.92571,48
51631,41.27847,-77.73883,49
51631,41.27212,-77.74775,50
51631,41.27938,-77.74177,51
51631,41.27886,-77.74222,52
51631,41.27564,-77.7532,53
51631,41.27853,-77.75034,54
51631,41.27937,-77.74071,55
51619,41.38962,-77.81001,1
51619,41.39031,-77.8118,2
51619,41.39128,-77.81029,3
51619,41.39018,-77.80964,4
51619,41.39134,-77.81034,5
51619,41.39088,-77.81018,6
51619,41.39296,-77.80675,7
51619,41.38978,-77.80932,8
51619,41.39011,-77.80963,9
51619,41.39229,-77.81206,10
51619,41.39207,-77.81197,11
51619,41.39199,-77.81252,12
51619,41.39209,-77.81165,13
51619,41.39007,-77.80936,14
51619,41.38993,-77.81009,15
51619,41.39236,-77.81435,16
51619,41.39245,-77.81399,17
51619,41.38967,-77.8164,18
51619,41.39221,-77.81431,19
51619,41.39032,-77.81577,20
51619,41.39032,-77.81496,21
51619,41.3902,-77.81572,22
51619,41.39035,-77.81509,23
51619,40.81418,-78.74921,24
51619,36.7239,-90.52183,25
51619,28.19119,-97.82073,26
51619,17.0261,-92.48704,27
51619,17.02595,-92.48686,28
51619,17.02617,-92.48705,29
51619,17.02615,-92.4871,30
51619,17.02615,-92.48709,31
51619,17.02616,-92.48703,32
51619,17.02608,-92.48711,33
51619,17.02622,-92.48701,34
51619,17.02608,-92.487,35
51619,17.0259,-92.48677,36
51619,17.02605,-92.48696,37
51619,17.02606,-92.487,38
51619,17.02594,-92.48685,39
51619,17.02619,-92.48706,40
51619,17.02624,-92.48695,41
51619,17.02614,-92.48704,42
51619,17.02671,-92.48726,43
51619,17.02663,-92.48726,44
51619,17.02607,-92.48719,45
51619,17.02627,-92.48707,46
51619,17.02664,-92.48775,47
51619,17.02652,-92.4876,48
51619,17.02597,-92.48667,49
51619,23.64974,-99.22687,50
51619,32.29232,-88.86909,51
51619,41.39046,-77.81017,52
51619,41.3921,-77.81475,53
51619,41.38895,-77.81018,54
51619,41.3901,-77.80982,55
51619,41.38997,-77.80906,56
51619,41.39251,-77.81317,57
51619,41.39012,-77.8088,58
51627,40.87166,-78.06233,1
51627,40.8708,-78.06267,2
51627,40.86962,-78.06112,3
51627,40.87187,-78.06101,4
51627,40.8708,-78.05981,5
51627,40.86947,-78.06118,6
51627,40.87075,-78.06266,7
51627,40.8695,-78.06162,8
51627,40.86822,-78.05594,9
51627,40.86947,-78.06167,10
51627,40.87152,-78.06241,11
51627,40.86955,-78.05972,12
51627,40.8714,-78.06237,13
51627,40.86952,-78.06116,14
51627,40.86953,-78.06136,15
51627,40.86951,-78.06126,16
51627,40.8695,-78.06124,17
51627,40.86946,-78.05899,18
51627,40.86955,-78.05911,19
51627,40.8702,-78.05946,20
51627,40.86947,-78.06121,21
51627,40.86945,-78.06125,22
51627,40.87019,-78.05832,23
51627,40.87055,-78.06014,24
51627,37.59519,-86.90728,25
51627,32.90686,-90.29036,26
51627,17.62755,-91.89267,27
51627,15.0259,-89.45057,28
51627,15.20171,-89.49809,29
51627,15.01086,-89.45158,30
51627,15.00992,-89.45202,31
51627,15.01006,-89.4531,32
51627,15.01051,-89.45315,33
51627,15.01052,-89.45313,34
51627,15.01037,-89.45227,35
51627,15.00976,-89.45198,36
51627,15.01023,-89.45231,37
51627,15.49232,-89.68983,38
51627,15.4925,-89.69029,39
51627,15.49301,-89.68941,40
51627,15.47637,-89.67806,41
51627,15.49384,-89.69134,42
51627,15.49214,-89.69028,43
51627,15.49258,-89.68956,44
51627,15.4925,-89.69001,45
51627,15.49237,-89.69005,46
51627,28.40617,-98.33855,47
51627,40.86943,-78.0616,48
51627,40.87039,-78.06169,49
51627,40.86958,-78.05909,50
